UNIT,ASSESSMENT,QUESTION #,STANDARDS ALIGNMENT
1,PRE-UNIT CHECK ,1,"K.CC.3, K.CC.5"
1,SUB UNIT 1 QUIZ ,1,1.MD.4
1,SUB UNIT 1 QUIZ ,2,1.MD.4
1,SUB UNIT 2 QUIZ ,1,"1.OA.5, 1.OA.6"
1,SUB UNIT 2 QUIZ ,2,"1.OA.5, 1.OA.6"
1,SUB UNIT 2 QUIZ ,3,"1.OA.5, 1.OA.6"
1,SUB UNIT 2 QUIZ ,4,"1.OA.5, 1.OA.6"
1,SUB UNIT 2 QUIZ ,5,1.OA.7
1,END UNIT ASSESSMENT,1,"1.OA.5, 1.OA.6"
1,END UNIT ASSESSMENT,2,"1.OA.5, 1.OA.6"
1,END UNIT ASSESSMENT,3,"1.OA.5, 1.OA.6"
1,END UNIT ASSESSMENT,4,"1.OA.5, 1.OA.6"
1,END UNIT ASSESSMENT,5,1.OA.7
1,END UNIT ASSESSMENT,6,1.MD.4
1,END UNIT ASSESSMENT,7,1.MD.4
1,END UNIT ASSESSMENT,8,"1.MD.4, 1.OA.7"
1,END UNIT ASSESSMENT,9,1.MD.4
1,END UNIT ASSESSMENT,10,1.MD.4
2,PRE-UNIT CHECK ,1,K.OA.2
2,PRE-UNIT CHECK ,2,K.OA.2
2,SUB UNIT 1 QUIZ ,1,"1.OA.1, 1.OA.6"
2,SUB UNIT 1 QUIZ ,2,K.OA.2
2,SUB UNIT 2 QUIZ ,1,"1.OA.1, 1.OA.6"
2,SUB UNIT 2 QUIZ ,2,"1.OA.1, 1.OA.6"
2,SUB UNIT 2 QUIZ ,3,K.CC.6
2,SUB UNIT 2 QUIZ ,4,K.CC.7
2,SUB UNIT 3 QUIZ,1,"1.OA.1, 1.OA.6, 1.MD.4"
2,SUB UNIT 3 QUIZ ,2,"1.OA.1, 1.OA.6"
2,END UNIT ASSESSMENT,1,1.OA.6
2,END UNIT ASSESSMENT,2,1.OA.6
2,END UNIT ASSESSMENT,3,1.OA.1
2,END UNIT ASSESSMENT,4,1.OA.1
2,END UNIT ASSESSMENT,5,"1.OA.1, 1.OA.6"
2,END UNIT ASSESSMENT,6,"1.OA.1, 1.OA.6"
2,END UNIT ASSESSMENT,7,"1.OA.1, 1.OA.6, 1.MD.4"
2,END UNIT ASSESSMENT,8,1.OA.4
3,PRE-UNIT CHECK ,1,1.OA.6
3,PRE-UNIT CHECK ,2,1.OA.6
3,PRE-UNIT CHECK ,3,1.OA.6
3,PRE-UNIT CHECK ,4,1.OA.6
3,PRE-UNIT CHECK ,5,1.OA.6
3,PRE-UNIT CHECK ,6,1.OA.6
3,PRE-UNIT CHECK ,7,1.OA.6
3,SUB UNIT 1 QUIZ ,1,1.OA.6
3,SUB UNIT 1 QUIZ ,2,1.OA.6
3,SUB UNIT 1 QUIZ ,3,1.OA.6
3,SUB UNIT 1 QUIZ ,4,1.OA.6
3,SUB UNIT 1 QUIZ ,5,"1.OA.4, 1.OA.8"
3,SUB UNIT 1 QUIZ ,6,"1.OA.4, 1.OA.8"
3,SUB UNIT 2 QUIZ ,1,"1.OA.6, 1.OA.8"
3,SUB UNIT 2 QUIZ ,2,"1.OA.6, 1.OA.8"
3,SUB UNIT 2 QUIZ ,3,"1.OA.6, 1.OA.8"
3,SUB UNIT 2 QUIZ ,4,"1.OA.6, 1.OA.8"
3,SUB UNIT 2 QUIZ ,5,"1.NBT.2.a, 1.NBT.2.b"
3,SUB UNIT 2 QUIZ ,6,"1.OA.1, 1.NBT.2.b"
3,SUB UNIT 3 QUIZ,1,"1.OA.6, 1.OA.3"
3,SUB UNIT 3 QUIZ,2,"1.OA.3, 1.OA.7"
3,SUB UNIT 3 QUIZ,3,"1.OA.3, 1.OA.7"
3,SUB UNIT 3 QUIZ,4,"1.OA.2, 1.OA.6"
3,SUB UNIT 3 QUIZ,5,"1.OA.1, 1.OA.6"
3,END UNIT ASSESSMENT,1,1.OA.6
3,END UNIT ASSESSMENT,2,1.OA.6
3,END UNIT ASSESSMENT,3,1.OA.6
3,END UNIT ASSESSMENT,4,1.OA.6
3,END UNIT ASSESSMENT,5,"1.NBT.2.a, 1.NBT.2.b"
3,END UNIT ASSESSMENT,6,1.OA.4
3,END UNIT ASSESSMENT,7,"1.OA.2, 1.OA.3"
3,END UNIT ASSESSMENT,8,1.OA.1
3,END UNIT ASSESSMENT,9,"1.OA.1, 1.OA.4"
4,PRE-UNIT CHECK ,1,"1.NBT.2.a, 1.NBT.2.b"
4,PRE-UNIT CHECK ,2,"1.NBT.2.a, 1.NBT.2.b"
4,PRE-UNIT CHECK ,3,1.OA.8
4,SUB UNIT 1 QUIZ ,1,1.NBT.2.c
4,SUB UNIT 1 QUIZ ,2,1.NBT.6
4,SUB UNIT 1 QUIZ ,3,1.NBT.4
4,SUB UNIT 2 QUIZ ,1,"1.NBT.1, 1.NBT.2.c"
4,SUB UNIT 2 QUIZ ,2,"1.NBT.1, 1.NBT.2.c"
4,SUB UNIT 2 QUIZ ,3,1.NBT.2
4,SUB UNIT 2 QUIZ ,4,1.NBT.5
4,SUB UNIT 2 QUIZ ,5,1.NBT.5
4,SUB UNIT 2 QUIZ ,6,1.NBT.4
4,SUB UNIT 3 QUIZ,1,1.NBT.3
4,SUB UNIT 3 QUIZ,2,1.NBT.3
4,SUB UNIT 3 QUIZ,3,1.NBT.3
4,SUB UNIT 3 QUIZ,4,1.NBT.3
